,0
"('Reason_Voted_Candidate', 'value_counts')","{'No Response': 1034, 'I liked their projects or promises': 711, 'I support their party': 592, 'I support their party, I liked their projects or promises': 379, 'For change ': 157, 'I liked their projects or promises, They were active in the community': 97, 'They were active in the community': 74, 'I support their party, They were active in the community': 71, 'For change': 54, 'For change and development ': 41, 'I support their party, For change ': 38, 'I support their party, I liked their projects or promises, They were active in the community': 35, 'Change ': 19, 'I liked their projects or promises, For change ': 19, 'None ': 9, 'I liked their projects or promises, For change': 8, 'I support their party, For change and development ': 7, 'As a citizen ': 6, 'I support their party, For change': 5, 'For development ': 4, 'change': 3, 'For peace ': 3, 'For change, job creation ': 3, 'I liked their projects or promises, Change ': 2, 'I support their party, Job creation ': 2, 'I support their party, For peace ': 2, 'I support their party, ': 2, 'Job creation ': 2, 'Low standard of living ': 2, 'For cha': 2, 'I liked their projects or promises, For peace ': 2, 'I voted for change ': 2, 'I liked their projects or promises, For change and development ': 2, 'Family member': 2, 'Award': 1, 'I support their party, Family member': 1, 'I support their party, Peace ': 1, 'I support their party, Forced by her father': 1, 'I support their party, I wanted change ': 1, 'I support their party, For change and job creation ': 1, 'I liked their projects or promises, Convinced by a friend ': 1, ""For the country's development "": 1, 'I voted for him because I wanted change ': 1, 'I liked how they performed during their time of  office ': 1, ""I didn't vote for anyone "": 1, 'I wanted change ': 1, 'I liked their projects or promises, We want gender neutral jobs': 1, 'We wanted change for the country ': 1, 'Peace': 1, 'I support their party, Closely related ': 1, 'Too much hardship and unemployment': 1, 'I support their party, Job creation, For loans ': 1, 'Voted for change': 1, 'I support their party, Job cre': 1, 'I support their party, For change and peace': 1, 'I liked their projects or promises, As a citizen ': 1, 'Cost of living and for change ': 1, 'I support their party, We were born in to it': 1, 'I support their party, For chaMeg ': 1, 'For peace,for change ': 1, 'I liked their projects or promises, Currency exchange ': 1, 'I liked their projects or promises, Family member ': 1, 'I support their party, Cost of living ': 1, 'I support their party, For peace': 1, 'For development and change': 1, 'Remove bet taxes ': 1, 'I support their party, For change,job creation ': 1, 'I liked their projects or promises, For change, job creation ': 1, 'Low standard of living': 1, 'For low standard of living ': 1, 'We wanted change in government ': 1, 'To remove betting tax': 1, 'I liked their projects or promises, They were active in the community, For change and development ': 1, 'I liked their projects or promises, For cha ': 1, 'I liked their projects or promises, For change , For peace ': 1, 'Forced to vote ': 1, 'I support their party, I liked their projects or promises, For change': 1, 'I liked their projects or promises, For chane': 1, 'For chnge': 1, 'Cost of living ': 1, 'Breaking the chain of two party systems in Ghana ': 1, 'I support their party, Better government ': 1, 'Forced ': 1, ""I liked their projects or promises, Job creation,they don't waste money "": 1, 'They were active in the community, For change ': 1, 'Grandfather ': 1, 'Previous performance ': 1, 'I support their party, Job creation,for peace ': 1, ""Don't know "": 1, 'For peace,for change and development ': 1, 'For change and development, for peace ': 1, 'For peace, for change and development ': 1, 'Job creation ,for change ': 1, 'For change and Deb ': 1, 'Economic hardship ': 1, 'I liked their projects or promises, Got chan': 1, 'Got change': 1}"
"('Reason_Voted_Candidate', 'top_5_values')","{'No Response': 1034, 'I liked their projects or promises': 711, 'I support their party': 592, 'I support their party, I liked their projects or promises': 379, 'For change ': 157}"
"('Party_Belong', 'unique_count')",23
"('Party_Belong', 'value_counts')","{'NDC': 1344, 'Not Specified': 1094, 'NPP': 846, 'None ': 137, 'none': 6, 'N': 5, 'New force': 2, 'GUM': 2, ' None ': 2, 'Cpp': 2, 'CPP': 2, ""Can't tell"": 1, 'Not a political fun': 1, 'LPG(Kofi Apkaloo)': 1, 'CanÂ\x92t tell': 1, 'Lack of team support ': 1, 'Both': 1, 'New Force': 1, 'I donÂ\x92t know ': 1, 'The New Force': 1, 'The new force': 1, 'Change ': 1, 'CPP ': 1}"
"('Party_Belong', 'top_5_values')","{'NDC': 1344, 'Not Specified': 1094, 'NPP': 846, 'None ': 137, 'none': 6}"
"('Reason_NPP_Lost', 'unique_count')",183
"('Reason_NPP_Lost', 'value_counts')","{'No Response': 897, 'People were not happy with the NPP government and wanted change': 834, 'He didnÂ\x92t do enough for the community': 310, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community': 234, 'People were not happy with the NPP government and wanted change, People vote for NDC here': 158, 'People were not happy with the NPP government and wanted change, The NDCÂ\x92s promises sounded better': 124, 'People vote for NDC here': 122, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, The NDCÂ\x92s promises sounded better': 114, 'The NDCÂ\x92s promises sounded better': 62, 'Team didnÂ\x92t support ': 39, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, People vote for NDC here': 38, 'People were not happy with the NPP government and wanted change, Lack of team support ': 36, 'Lack of team support ': 32, 'None ': 28, 'People were not happy with the NPP government and wanted change, The NDCÂ\x92s promises sounded better, People vote for NDC here': 28, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, The NDCÂ\x92s promises sounded better, People vote for NDC here': 23, 'Change ': 22, ""Don't know "": 21, 'He didnÂ\x92t do enough for the community, The NDCÂ\x92s promises sounded better': 17, 'People were not happy with the NPP government and wanted change, For change ': 17, 'For change ': 16, 'People were not happy with the NPP government and wanted change, Late projects ': 16, 'I donÂ\x92t know ': 13, 'He didnÂ\x92t do enough for the community, People vote for NDC here': 12, 'The NDCÂ\x92s promises sounded better, People vote for NDC here': 12, 'People were not happy with the NPP government and wanted change, Cost of living ': 8, 'Increased in inflation ': 7, 'His team didnÂ\x92t help him ': 6, 'People were not happy with the NPP government and wanted change, Ungratefulness ': 6, 'DonÂ\x92t know ': 5, 'Cost of living ': 5, ""His team didn't help "": 5, 'People were not happy with the NPP government and wanted change, Late projects': 4, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, Lack of team support ': 4, 'No idea': 3, 'Mishandled money ': 3, 'Late projects ': 3, 'People vote for NDC here, ': 3, 'He didnÂ\x92t do enough for the community, His team didnÂ\x92t help': 3, 'His team didnÂ\x92t help ': 3, 'CanÂ\x92t tell': 3, 'People were not happy with the NPP government and wanted change, Increased in inflation ': 3, 'People were not happy with the NPP government and wanted change, His team didnÂ\x92t help him ': 3, 'He didnÂ\x92t do enough for the community, Lack of team support ': 2, 'People were not happy with the NPP government and wanted change, Corruption ': 2, 'People vote for NDC here, Sand winning ': 2, 'Selfishness ': 2, 'He didnÂ\x92t do enough for the community, Mishandled money ': 2, 'People vote for NDC here, For change ': 2, 'People were not happy with the NPP government and wanted change, For change': 2, 'His team did not help him ': 2, 'People were not happy with the NPP government and wanted change, His team didnÂ\x92t help ': 2, 'People were not happy with the NPP government and wanted change, Greediness ': 2, 'His team didnÂ\x92t help': 2, 'People were not happy with the NPP government and wanted change, Increased inflation ': 2, 'People vote for NDC here, His team didnÂ\x92t help ': 1, ""People were not happy with the NPP government and wanted change, God's work "": 1, 'Team didnÂ\x92t help ': 1, ""God's work"": 1, 'People were not happy with the NPP government and wanted change, Mishandled stateÂ\x92s money ': 1, 'E Levy ': 1, 'People were not happy with the NPP government and wanted change, The leaders were selfish': 1, 'He didnÂ\x92t do enough for the community, They were competent ': 1, 'Apathy': 1, 'He didnÂ\x92t do enough for the community, Destroyed our lands': 1, 'The team didnÂ\x92t help him': 1, 'People vote for NDC here, None': 1, ""People were not happy with the NPP government and wanted change, People vote for NDC here, Didn't get share if the money "": 1, ""People were not happy with the NPP government and wanted change, His executive didn't help"": 1, 'People were not happy with the NPP government and wanted change, Inflation ': 1, 'People were not happy with the NPP government and wanted change, Too much of gift ': 1, 'He didnÂ\x92t do enough for the community, High inflation ': 1, ""I don't know "": 1, 'His team didnÂ\x92t give much support ': 1, ""Don't stay here "": 1, 'DonÂ\x92t know': 1, ""Don't stay here"": 1, 'Community fully support NDC': 1, 'Hardship ': 1, 'People were not happy with the NPP government and wanted change, DidnÂ\x92t get their personal gain ': 1, 'They did not do much for the community ': 1, ""People were not happy with the NPP government and wanted change, The leader didn't help"": 1, 'They destroyed our lands and I also wanted the best for the country ': 1, 'He was betrayed ': 1, ""Can't tell "": 1, 'Just voted ': 1, 'They destroyed our lands ': 1, 'He didnÂ\x92t do enough for the community, Team didnÂ\x92t support ': 1, 'People were not happy with the NPP government and wanted change, Team didnÂ\x92t support ': 1, 'People were not happy with the NPP government and wanted change, Greediness  and influence if mass media ': 1, 'People vote for NDC here, Hardship on the part of the people': 1, 'The NDCÂ\x92s promises sounded better, Most of the party members didnt vote': 1, 'He did nothing important': 1, 'He didnÂ\x92t do enough for the community, Sand winning ': 1, ""He didnÂ\x92t do enough for the community, Executive didn't help "": 1, ""Executive didn't help "": 1, 'People did not go to vote ': 1, ""People were not happy with the NPP government and wanted change, Executive didn't help"": 1, 'People vote for NDC here, No idea': 1, 'People did not go and vote ': 1, 'Partiality ': 1, 'team didnt support': 1, 'People were not happy with the NPP government and wanted change, Campaign against him': 1, 'People here are ungrateful': 1, ""People vote for NDC here, His team didn't help "": 1, ""People vote for NDC here, Executive didn't help "": 1, ""People were not happy with the NPP government and wanted change, Executive didn't help "": 1, 'People were not happy with the NPP government and wanted change, Thinks he can buy votes with money': 1, 'Team didnÂ\x92t support us ': 1, ""God's work "": 1, ""People were not happy with the NPP government and wanted change, Don't know "": 1, 'Greediness ': 1, 'Their work wasnÂ\x92t impressive ': 1, 'Unemployment ': 1, 'People vote for NDC here, Did not get some of the money shared': 1, 'People were not happy with the NPP government and wanted change, They did nothing': 1, ' for change ': 1, 'They failed us': 1, 'The sharing of money': 1, 'People were not happy with the NPP government and wanted change, The NDCÂ\x92s promises sounded better, The NPPs started their project when election time was due': 1, 'People were not happy with the NPP government and wanted change, People vote for NDC here, Ungratefulness ': 1, 'Cant tell': 1, 'People vote for NDC here, Team didnÂ\x92t support ': 1, ""The NDCÂ\x92s promises sounded better, Executive didn't help "": 1, 'They mishandled money ': 1, 'He didnÂ\x92t do enough for the community, Increased in inflation ': 1, 'People were not happy with the NPP government and wanted change, Sand winning ': 1, 'People were not happy with the NPP government and wanted change, Lack of team support': 1, 'Was betrayed ': 1, 'Cost of items ': 1, 'Most NPP members didnt vote': 1, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, The NDCÂ\x92s promises sounded better, They started doing projects when time for election was due': 1, 'People were not happy with the NPP government and wanted change, None': 1, 'People were not happy with the NPP government and wanted change, People vote for NDC here, Selfishness on the part of the leaders': 1, 'He didnÂ\x92t do enough for the community, Mishandling money': 1, 'People were not happy with the NPP government and wanted change, The NDCÂ\x92s promises sounded better, For change': 1, 'They cheated': 1, 'change': 1, 'People were not happy with the NPP government and wanted change, People vote for NDC here, Illiteracy': 1, 'Economic crisis ': 1, 'They were cheated on': 1, 'Majority of the party members didnÂ\x92t vote ': 1, ""People didn't vote"": 1, 'People were not happy with the NPP government and wanted change, Mishandling money': 1, 'He supported LGBTQ ': 1, ""People didn't vote "": 1, 'Ungrateful': 1, 'He didnÂ\x92t do enough for the community, For change, increased in inflation ': 1, ""People were not happy with the NPP government and wanted change, They didn't share the money they were supposed to share "": 1, 'From God': 1, 'He didnÂ\x92t do enough for the community, They pollute our water bodies ': 1, 'Members of NPP didnt vote': 1, 'People were not happy with the NPP government and wanted change, Mishandled money ': 1, 'He mismanaged money ': 1, 'People were not happy with the NPP government and wanted change, Hardship and inflation ': 1, 'People were not happy with the NPP government and wanted change, Selfishness on the part of the leaders': 1, 'People were not happy with the NPP government and wanted change, People vote for NDC here, High cost of living': 1, 'People were not happy with the NPP government and wanted change, People': 1, 'Clean water': 1, 'He didnÂ\x92t do enough for the community, For change ': 1, 'For change and development ': 1, 'He didnÂ\x92t do enough for the community, Destroyed our waters ': 1, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, People vote for NDC here, Hardship': 1, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, His team didnÂ\x92t help him': 1, 'People were not happy with the NPP government and wanted change, ': 1, 'They didnÂ\x92t address the issue of economic hardship ': 1, 'He was selective ': 1, 'Mishandled money': 1, 'For change': 1, 'Leaders were not able to perform well ': 1, 'Mishandled money, his tea didnÂ\x92t help him ': 1, 'He was competent ': 1, 'Mishandled money, his team did not help him ': 1, 'Disrespectful ': 1, 'He didnÂ\x92t do enough for the community, Disrespectful ': 1, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community, The NDCÂ\x92s promises sounded better, ': 1, 'His team didnÂ\x92t help him': 1, 'Lack not team support ': 1, 'People were not happy with the NPP government and wanted change, People were not happy': 1, 'He didnÂ\x92t do enough for the community, The NDCÂ\x92s promises sounded better, People vote for NDC here': 1, 'Delayed projects ': 1, 'Late projects': 1, ""They weren't strategic "": 1}"
"('Reason_NPP_Lost', 'top_5_values')","{'No Response': 897, 'People were not happy with the NPP government and wanted change': 834, 'He didnÂ\x92t do enough for the community': 310, 'People were not happy with the NPP government and wanted change, He didnÂ\x92t do enough for the community': 234, 'People were not happy with the NPP government and wanted change, People vote for NDC here': 158}"
"('Know_Projects', 'unique_count')",223
"('Know_Projects', 'value_counts')","{""I heard, but they didn't help me"": 863, 'No Response': 808, ""No, I didn't know about them"": 671, 'Yes, I knew about them': 656, ""Yes, I knew about them, I heard, but they didn't help me"": 50, 'Yes, I knew about them, Boreholes ': 32, ""No, I didn't know about them, I heard, but they didn't help me"": 18, ""Yes, I knew about them, No, I didn't know about them"": 18, 'Yes, I knew about them, AstroTurf ': 17, 'Yes, I knew about them, Roads ': 12, 'Yes, I knew about them, Roads': 11, 'Yes, I knew about them, Awards': 10, 'Yes, I knew about them, Gifts ': 8, 'Yes, I knew about them, Gifts': 8, 'Yes, I knew about them, Awards ': 7, 'Yes, I knew about them, Health centers ': 7, 'Yes, I knew about them, Electricity ': 6, 'Yes, I knew about them, Bridge ': 6, 'Yes, I knew about them, AstruTarf ': 5, 'Yes, I knew about them, Gifts for graduated people ': 4, 'Yes, I knew about them, Education ': 3, ""I heard, but they didn't help me, Boreholes "": 3, 'Yes, I knew about them, Roads, electricity ': 3, 'Yes, I knew about them, Construction of poll': 3, 'Yes, I knew about them, Durbar grounds ': 3, 'Yes, I knew about them, Boreholes': 3, 'Yes, I knew about them, Boreholes,Awards ': 3, 'None ': 3, 'Yes, I knew about them, Electricity, boreholes ': 3, 'Yes, I knew about them, Boreholes, roads ': 3, 'Yes, I knew about them, AstroTurf': 2, 'Yes, I knew about them, Borehole ': 2, 'Yes, I knew about them, Roads, boreholes ': 2, 'Yes, I knew about them, Roads , boreholes, electricity ': 2, 'Yes, I knew about them, Electricity, Boreholes ': 2, 'Yes, I knew about them, Awards,Education ': 2, 'Yes, I knew about them, Boreholes, awards ': 2, 'Yes, I knew about them, Roads construction ': 2, 'Yes, I knew about them, Awards, electricity ': 2, 'Yes, I knew about them, Awards,AstroTurf ': 2, 'Yes, I knew about them, Construction of road ': 2, 'Yes, I knew about them, Street light': 2, 'Yes, I knew about them, School ': 2, 'Yes, I knew about them, Electrification ': 2, 'Yes, I knew about them, Boreholes,roads ': 1, 'Yes, I knew about them, Boreholes, AstroTurf ': 1, 'Yes, I knew about them, Boreholes and AstruTarf': 1, 'Yes, I knew about them, Street lights boreholes ': 1, 'Yes, I knew about them, Boreholes and street light ': 1, 'Yes, I knew about them, Astroturf ,Roads': 1, 'Yes, I knew about them, Bridges, Electricity,Boreholes and AstroTurf ': 1, 'Yes, I knew about them, Boreholes, electricity, health facilities, Awards and AstroTurf ': 1, 'Yes, I knew about them, Road constractions,and street light ': 1, 'Yes, I knew about them, Fixing of transformers and AstroTurf ': 1, 'Yes, I knew about them, AstroTurf and boreholes ': 1, 'Yes, I knew about them, The park ': 1, 'Yes, I knew about them, AstroTurf,Factories ': 1, 'Yes, I knew about them, Awards,AstroTurf,Roads,Electricity,Education and Boreholes ': 1, 'Yes, I knew about them, He should hv done better': 1, 'Yes, I knew about them, Roads construction,fixing of boreholes ': 1, 'Yes, I knew about them, Factory,AstroTurf ': 1, ""I heard, but they didn't help me, Team didnt support"": 1, 'Yes, I knew about them, AstroTurf, sending some youth to school ': 1, 'Yes, I knew about them, Roads, boreholes and security services ': 1, 'Yes, I knew about them, Road constractions ': 1, 'Yes, I knew about them, Boreholes and roads construction ': 1, 'Yes, I knew about them, Helping people with jobs': 1, 'Yes, I knew about them, Construction of shelter and Urinal': 1, 'Yes, I knew about them, Washroom ': 1, 'Yes, I knew about them, Helped many people ': 1, 'Yes, I knew about them, Bridge palace ': 1, 'Yes, I knew about them, Bridge, AstoTurf, Awards ': 1, 'Yes, I knew about them, Roads ,water , school ': 1, 'Yes, I knew about them, Awards, roads ': 1, 'Yes, I knew about them, Education, training, Roads, boreholes ': 1, 'Yes, I knew about them, Boreholes and street lights': 1, 'Yes, I knew about them, Roads ,awards ': 1, 'Yes, I knew about them, AstroTurf;Education,Awards and Bridges': 1, 'Yes, I knew about them, Boreholes School projects AstroTurf Caring for the aged': 1, 'Yes, I knew about them, AstroTurf,Education': 1, 'Yes, I knew about them, Gala,Electricity ': 1, 'Yes, I knew about them, Gala,AstroTurf ': 1, 'Yes, I knew about them, Helping of tailors ': 1, 'Yes, I knew about them, Roads , bridges, boreholes ': 1, 'Yes, I knew about them, Sending people into the security services ': 1, 'Yes, I knew about them, AstroTurf,Awards': 1, 'Yes, I knew about them, Electricity, Boreholes, roads ': 1, 'Yes, I knew about them, Roads, boreholes, bridges ': 1, 'Yes, I knew about them, Astroturf, electricity ': 1, 'Yes, I knew about them, Does something only during election ': 1, 'Yes, I knew about them, Boreholes , astroturf': 1, 'Yes, I knew about them, Bore hole ': 1, 'Yes, I knew about them, Roads,boreholes, electricity ': 1, 'Yes, I knew about them, The park': 1, 'Yes, I knew about them, Electricity,boreholes,astroturf': 1, 'Yes, I knew about them, Health centers,Awards and Education': 1, 'Yes, I knew about them, Boreholes and AstroTurf ': 1, 'Yes, I knew about them, AstroTurf and Boreholes ': 1, 'Yes, I knew about them, Education,Awards and Education': 1, 'Yes, I knew about them, Education and Awards': 1, 'Yes, I knew about them, Awards,Electricity and Boreholes ': 1, 'Yes, I knew about them, Boreholes,AstroTurf and Awards': 1, 'Yes, I knew about them, Extension of electricity , AstroTurf, boreholes ': 1, ""I heard, but they didn't help me, Education "": 1, 'Yes, I knew about them, Astroturf ,Awards ': 1, 'Yes, I knew about them, Job provision ': 1, 'Yes, I knew about them, Adom Easter gala': 1, 'Yes, I knew about them, Roads,AsTurf': 1, 'Yes, I knew about them, Boreholes and AstruTarf ': 1, 'Yes, I knew about them, Gift and boreholes ': 1, 'Yes, I knew about them, Awards, boreholes, roads ': 1, 'Yes, I knew about them, Roads ,Awards ': 1, ""I heard, but they didn't help me, Bridge "": 1, 'Yes, I knew about them, Roads,AstroTurf': 1, 'Yes, I knew about them, Roads and shelter in the market': 1, 'Yes, I knew about them, Gift': 1, 'Yes, I knew about them, Roads , electricity Roads ': 1, 'Yes, I knew about them, Education, boreholes, electricity ': 1, 'Yes, I knew about them, Network poles': 1, 'Yes, I knew about them, Pavements, AstroTurf ': 1, 'Yes, I knew about them, Boreholes, electricity ': 1, 'Yes, I knew about them, Boreholes l,AstroTurf ': 1, 'Yes, I knew about them, Bridges,Health facilities,AstroTurf ': 1, 'Yes, I knew about them, AstruTarf and military service ': 1, 'Yes, I knew about them, Boreholes and schools ': 1, 'Yes, I knew about them, Health centers,AstroTurf ': 1, 'Yes, I knew about them, Awards,Gala and Brigdes': 1, 'Yes, I knew about them, Gifts,and education ': 1, 'Yes, I knew about them, Gift ': 1, 'Yes, I knew about them, Funeral grounds, boreholes ': 1, 'Yes, I knew about them, Provision of light ': 1, 'Yes, I knew about them, Electricit,Roads': 1, 'Awards ': 1, 'Yes, I knew about them, Roads,Boreholes ': 1, 'Yes, I knew about them, Education,Boreholes ': 1, ""I heard, but they didn't help me, AstroTurf "": 1, 'Yes, I knew about them, Lavatory, boreholes ': 1, 'Yes, I knew about them, Boreholes,Provided jobs': 1, 'Yes, I knew about them, Roads, awards ': 1, 'Yes, I knew about them, Awards,Eduation': 1, 'Yes, I knew about them, Electricity, boreholes, AstroTurf': 1, 'Yes, I knew about them, Bridges': 1, 'Yes, I knew about them, Street light,Education ': 1, 'Yes, I knew about them, Transformers,AstroTurf,Boreholes Factories': 1, 'Yes, I knew about them, Roads, Awards ': 1, 'Yes, I knew about them, Boreholes, education, awards ': 1, 'Yes, I knew about them, AstroTurf,Boreholes,Street light': 1, 'Yes, I knew about them, Construction of road': 1, 'Yes, I knew about them, AstruTarf and boreholes ': 1, 'Yes, I knew about them, Boreholes, bridges ': 1, 'Yes, I knew about them, Roads , awards, electricity ': 1, 'Yes, I knew about them, Funeral ground ': 1, 'Yes, I knew about them, Training, Electricity, social ': 1, 'Yes, I knew about them, Education,Jobs': 1, 'Yes, I knew about them, AstroTurf , Roads,electricity ': 1, 'Yes, I knew about them, Roads , AstroTurf': 1, 'Yes, I knew about them, Awards and AstroTurf ': 1, 'Yes, I knew about them, Awards,Boreholes ': 1, 'Yes, I knew about them, Education,AstroTurf ': 1, 'Yes, I knew about them, Network poll': 1, 'Yes, I knew about them, Electricity, awards ': 1, 'Yes, I knew about them, Awards,Street light': 1, 'Yes, I knew about them, Lavatories ': 1, 'Yes, I knew about them, Electricity,Boreholes': 1, 'Yes, I knew about them, Light poles': 1, 'Yes, I knew about them, AstruTarf and education ': 1, 'Yes, I knew about them, Boreholes,Electricity ': 1, 'Yes, I knew about them, Bridge, Boreholes ': 1, 'Yes, I knew about them, Schools,Street': 1, 'Yes, I knew about them, Police station, clinic ': 1, 'Yes, I knew about them, Clinic, electricity, Schools, durbar grounds ': 1, 'Yes, I knew about them, Schools, network pole ': 1, 'Yes, I knew about them, Electricity,Roads ': 1, 'Yes, I knew about them, Network pole, electricity ': 1, 'Yes, I knew about them, He did a lot ': 1, 'Yes, I knew about them, Electricity, Roads ': 1, 'Yes, I knew about them, Hospital, police station, school, roads ': 1, 'Yes, I knew about them, Schools, awards ': 1, 'Yes, I knew about them, Electricity,schools,hospitals, ': 1, 'Yes, I knew about them, Electricity, schools, hospitals ': 1, 'Yes, I knew about them, Electricity, police station, hospital ': 1, 'Yes, I knew about them, Schools, hospitals, police station ': 1, 'Yes, I knew about them, Electricity, road ': 1, 'Yes, I knew about them, Police station, mosques ': 1, 'Yes, I knew about them, Police station, hospital ': 1, 'Yes, I knew about them, Clinic, police station, school, street lights ': 1, 'Yes, I knew about them, Electricity,roads ': 1, 'Yes, I knew about them, Awards,Roads': 1, 'Yes, I knew about them, Police station, hospital, schools ': 1, 'Yes, I knew about them, Electricity, boreholes, roads ': 1, 'Yes, I knew about them, Street light ': 1, 'Yes, I knew about them, Electricity hospitals ': 1, 'Yes, I knew about them, Hospital ': 1, 'Yes, I knew about them, Electricity,boreholes ': 1, 'Yes, I knew about them, Police station, hospital,school ': 1, 'Yes, I knew about them, Electricity, school': 1, 'Yes, I knew about them, Boreholes,AstroTurf ': 1, 'Yes, I knew about them, Education,Awards': 1, 'Yes, I knew about them, Roads, boreholes, electricity ': 1, 'Yes, I knew about them, Boreholes,lavatories,roads': 1, 'Yes, I knew about them, Roads,boreholes ': 1, 'For change ': 1, 'Yes, I knew about them, AstroTurf, quizes ': 1, 'Yes, I knew about them, Boreholes, Awards ': 1, 'Yes, I knew about them, AstroTurf,Boreholes': 1, 'Yes, I knew about them, Electricity,boreholes, roads ': 1, 'Yes, but they delayed ': 1, 'Yes, I knew about them, Educattion': 1, 'Yes, I knew about them, Boreholes, schools, roads ': 1, 'Yes, I knew about them, CHP compound ': 1, 'Yes, I knew about them, Boreholes, Electricity ': 1, 'Yes, I knew about them, Boreholes, Roads ': 1, 'Yes, I knew about them, Roads,Electricity ': 1, 'Yes, I knew about them, Boreholes, electricity,roads ': 1, 'Yes, I knew about them, Roads, schools': 1, 'Yes, I knew about them, Boreholes, roads,schools ': 1, 'Yes, I knew about them, Borehole,Electricity ': 1, ""No, I didn't know about them, He started but stopped immediately he realized people here always vote NDC "": 1, 'Yes, I knew about them, Boreholes, community center, CHP compound ': 1, 'Yes, I knew about them, Road ': 1, 'Yes, I knew about them, Street lights ': 1, 'Yes, I knew about them, Play ground': 1, 'Yes, I knew about them, Hospital, schools ': 1}"
"('Know_Projects', 'top_5_values')","{""I heard, but they didn't help me"": 863, 'No Response': 808, ""No, I didn't know about them"": 671, 'Yes, I knew about them': 656, ""Yes, I knew about them, I heard, but they didn't help me"": 50}"
"('Solved_Community_Problems', 'unique_count')",4
"('Solved_Community_Problems', 'value_counts')","{""No, he didn't solve major issues"": 1000, 'No Response': 945, ""He tried, but it wasn't enough"": 810, 'Yes, he did most of the work needed': 699}"
"('Solved_Community_Problems', 'top_5_values')","{""No, he didn't solve major issues"": 1000, 'No Response': 945, ""He tried, but it wasn't enough"": 810, 'Yes, he did most of the work needed': 699}"
"('Reason_NDC_Won', 'unique_count')",104
